,text_description
1516,有一个Xuhui的attached lane house，1卧0厅1卫，面积是21平方米，有空调，房租价格是4600.0。
1517,有一个Xuhui的public housing，1卧0厅1卫，面积是25平方米，有空调，有阳台，房租价格是4600.0。
1518,有一个Xuhui的public housing，2卧1厅1卫，面积是55平方米，有空调，有阳台，有浴缸，房租价格是4600.0。
1519,有一个Xuhui的attached lane house，1卧1厅1卫，面积是35平方米，有室外空间，有空调，有阳台，房租价格是4600.0。
1520,有一个Xuhui的detached lane house，1卧0厅1卫，面积是20平方米，有空调，房租价格是4700.0。
1521,有一个Xuhui的attached lane house，1卧1厅1卫，面积是35平方米，有空调，房租价格是4800.0。
1522,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有空调，房租价格是4800.0。
1523,有一个Xuhui的detached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是4800.0。
1524,有一个Xuhui的public housing，1卧0厅0卫，面积是30平方米，有空调，房租价格是4800.0。
1525,有一个Xuhui的public housing，1卧0厅1卫，面积是38平方米，有空调，有阳台，房租价格是4800.0。
1526,有一个Xuhui的attached lane house，1卧0厅1卫，面积是22平方米，有空调，房租价格是4900.0。
1527,有一个Xuhui的attached lane house，1卧0厅1卫，面积是25平方米，有空调，有阳台，房租价格是4900.0。
1528,有一个Xuhui的detached lane house，1卧0厅1卫，面积是15平方米，房租价格是4900.0。
1529,有一个Xuhui的public housing，2卧1厅1卫，面积是65平方米，有空调，有阳台，有WIFI，房租价格是4900.0。
1530,有一个Xuhui的detached lane house，1卧1厅1卫，面积是15平方米，有室外空间，有空调，有WIFI，有地暖，房租价格是5000.0。
1531,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是5000.0。
1532,有一个Xuhui的attached lane house，1卧0厅1卫，面积是15平方米，有室外空间，有空调，有WIFI，房租价格是5000.0。
1533,有一个Xuhui的attached lane house，1卧0厅1卫，面积是30平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是5000.0。
1534,有一个Xuhui的detached lane house，1卧1厅1卫，面积是23平方米，房租价格是5000.0。
1535,有一个Xuhui的detached lane house，1卧1厅1卫，面积是18平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是5000.0。
1536,有一个Xuhui的attached lane house，1卧0厅1卫，面积是38平方米，有室外空间，有空调，房租价格是5000.0。
1537,有一个Xuhui的public housing，2卧1厅1卫，面积是60平方米，有浴缸，房租价格是5000.0。
1538,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有空调，有WIFI，房租价格是5000.0。
1539,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有空调，有阳台，房租价格是5000.0。
1540,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有空调，房租价格是5100.0。
1541,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有空调，房租价格是5100.0。
1542,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有空调，房租价格是5100.0。
1543,有一个Xuhui的detached lane house，1卧0厅1卫，面积是20平方米，有室外空间，有空调，房租价格是5200.0。
1544,有一个Xuhui的public housing，1卧0厅1卫，面积是26平方米，有空调，房租价格是5200.0。
1545,有一个Xuhui的detached lane house，1卧0厅1卫，面积是25平方米，有室外空间，有空调，房租价格是5200.0。
1546,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是5200.0。
1547,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是5200.0。
1548,有一个Xuhui的detached lane house，1卧1厅1卫，面积是20平方米，有室外空间，有空调，房租价格是5200.0。
1549,有一个Xuhui的attached lane house，1卧0厅1卫，面积是27平方米，有空调，房租价格是5300.0。
1550,有一个Xuhui的attached lane house，1卧0厅1卫，面积是30平方米，有空调，房租价格是5300.0。
1551,有一个Xuhui的attached lane house，1卧0厅1卫，面积是25平方米，有空调，房租价格是5300.0。
1552,有一个Xuhui的detached lane house，1卧1厅1卫，面积是25平方米，有供暖，有空调，有WIFI，房租价格是5500.0。
1553,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是5500.0。
1554,有一个Xuhui的attached lane house，1卧0厅1卫，面积是20平方米，有空调，有WIFI，房租价格是5500.0。
1555,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有室外空间，有供暖，有空调，有阳台，房租价格是5500.0。
1556,有一个Xuhui的attached lane house，1卧1厅1卫，面积是29平方米，有供暖，有空调，有浴缸，房租价格是5500.0。
1557,有一个Xuhui的detached lane house，1卧0厅1卫，面积是18平方米，有室外空间，有供暖，有地暖，房租价格是5500.0。
1558,有一个Xuhui的public housing，1卧0厅1卫，面积是42平方米，有空调，有阳台，房租价格是5500.0。
1559,有一个Xuhui的detached lane house，1卧0厅1卫，面积是35平方米，有空调，房租价格是5500.0。
1560,有一个Xuhui的attached lane house，1卧1厅1卫，面积是35平方米，有室外空间，有空调，房租价格是5500.0。
1561,有一个Xuhui的detached lane house，1卧1厅1卫，面积是25平方米，有室外空间，有空调，有阳台，房租价格是5500.0。
1562,有一个Xuhui的detached lane house，1卧0厅1卫，面积是20平方米，有室外空间，房租价格是5500.0。
1563,有一个Xuhui的detached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是5500.0。
1564,有一个Xuhui的detached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是5500.0。
1565,有一个Xuhui的attached lane house，1卧0厅1卫，面积是30平方米，房租价格是5500.0。
1566,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是5700.0。
1567,有一个Xuhui的detached lane house，1卧1厅1卫，面积是23平方米，有供暖，有地暖，房租价格是5700.0。
1568,有一个Xuhui的public housing，3卧1厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是5800.0。
1569,有一个Xuhui的public housing，1卧0厅1卫，面积是32平方米，有室外空间，有空调，房租价格是5800.0。
1570,有一个Xuhui的detached lane house，1卧0厅1卫，面积是28平方米，有供暖，有空调，有烤箱，房租价格是5800.0。
1571,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是5800.0。
1572,有一个Xuhui的detached lane house，1卧0厅1卫，面积是28平方米，有供暖，有空调，有WIFI，有烤箱，房租价格是5800.0。
1573,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有空调，有WIFI，房租价格是5800.0。
1574,有一个Xuhui的public housing，1卧1厅1卫，面积是49平方米，有空调，有阳台，房租价格是5800.0。
1575,有一个Xuhui的detached lane house，1卧1厅1卫，面积是38平方米，有空调，房租价格是5800.0。
1576,有一个Xuhui的attached lane house，1卧0厅1卫，面积是38平方米，有空调，房租价格是5800.0。
1577,有一个Xuhui的public housing，1卧1厅1卫，面积是37平方米，有空调，有阳台，房租价格是5800.0。
1578,有一个Xuhui的public housing，1卧1厅1卫，面积是70平方米，有空调，有阳台，房租价格是5800.0。
1579,有一个Xuhui的detached lane house，1卧0厅1卫，面积是35平方米，有室外空间，有空调，有阳台，房租价格是5800.0。
1580,有一个Xuhui的public housing，1卧1厅1卫，面积是30平方米，有供暖，有地暖，房租价格是5800.0。
1581,有一个Xuhui的detached lane house，1卧1厅1卫，面积是28平方米，有空调，房租价格是5800.0。
1582,有一个Xuhui的public housing，1卧1厅1卫，面积是36平方米，有供暖，有空调，房租价格是5800.0。
1583,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有室外空间，房租价格是5800.0。
1584,有一个Xuhui的attached lane house，1卧0厅1卫，面积是15平方米，有空调，有WIFI，房租价格是5888.0。
1585,有一个Xuhui的attached lane house，1卧0厅1卫，面积是30平方米，有空调，有WIFI，房租价格是5900.0。
1586,有一个Xuhui的public housing，1卧0厅1卫，面积是30平方米，有空调，有阳台，房租价格是5900.0。
1587,有一个Xuhui的detached lane house，1卧0厅1卫，面积是40平方米，有空调，房租价格是5900.0。
1588,有一个Xuhui的attached lane house，1卧1厅1卫，面积是45平方米，有供暖，房租价格是5900.0。
1589,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有空调，房租价格是5900.0。
1590,有一个Xuhui的detached lane house，1卧0厅1卫，面积是36平方米，有空调，有WIFI，房租价格是6000.0。
1591,有一个Xuhui的public housing，1卧0厅1卫，面积是30平方米，有空调，房租价格是6000.0。
1592,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有WIFI，有浴缸，房租价格是6000.0。
1593,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，房租价格是6000.0。
1594,有一个Xuhui的detached lane house，1卧1厅1卫，面积是35平方米，有室外空间，房租价格是6000.0。
1595,有一个Xuhui的attached lane house，1卧1厅1卫，面积是45平方米，有空调，房租价格是6000.0。
1596,有一个Xuhui的attached lane house，1卧0厅1卫，面积是35平方米，有空调，有WIFI，房租价格是6000.0。
1597,有一个Xuhui的public housing，2卧1厅1卫，面积是68平方米，有空调，有阳台，房租价格是6000.0。
1598,有一个Xuhui的attached lane house，1卧0厅1卫，面积是35平方米，有空调，房租价格是6000.0。
1599,有一个Xuhui的attached lane house，1卧0厅1卫，面积是40平方米，有空调，房租价格是6000.0。
1600,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是6000.0。
1601,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有空调，房租价格是6000.0。
1602,有一个Xuhui的detached lane house，1卧0厅1卫，面积是40平方米，房租价格是6000.0。
1603,有一个Xuhui的detached lane house，1卧1厅1卫，面积是35平方米，有室外空间，有空调，有阳台，房租价格是6000.0。
1604,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，有WIFI，房租价格是6000.0。
1605,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是6000.0。
1606,有一个Xuhui的attached lane house，1卧0厅1卫，面积是20平方米，有空调，房租价格是6000.0。
1607,有一个Xuhui的public housing，1卧0厅1卫，面积是42平方米，有空调，房租价格是6000.0。
1608,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有空调，房租价格是6200.0。
1609,有一个Xuhui的detached lane house，1卧0厅1卫，面积是20平方米，有室外空间，有空调，房租价格是6200.0。
1610,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是6200.0。
1611,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有空调，有阳台，房租价格是6200.0。
1612,有一个Xuhui的public housing，1卧0厅1卫，面积是32平方米，有空调，房租价格是6200.0。
1613,有一个Xuhui的public housing，1卧0厅1卫，面积是36平方米，有空调，有阳台，房租价格是6200.0。
1614,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有空调，房租价格是6200.0。
1615,有一个Xuhui的detached lane house，1卧1厅1卫，面积是31平方米，有供暖，有空调，房租价格是6200.0。
1616,有一个Xuhui的public housing，1卧1厅1卫，面积是1平方米，房租价格是6300.0。
1617,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有室外空间，房租价格是6300.0。
1618,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是6300.0。
1619,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有空调，房租价格是6300.0。
1620,有一个Xuhui的public housing，1卧1厅1卫，面积是48平方米，有空调，有阳台，房租价格是6400.0。
1621,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有空调，有阳台，房租价格是6400.0。
1622,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是6400.0。
1623,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是6500.0。
1624,有一个Xuhui的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是6500.0。
1625,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有空调，房租价格是6500.0。
1626,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有空调，房租价格是6500.0。
1627,有一个Xuhui的attached lane house，1卧1厅1卫，面积是45平方米，有室外空间，房租价格是6500.0。
1628,有一个Xuhui的attached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有空调，有阳台，房租价格是6500.0。
1629,有一个Xuhui的detached lane house，1卧0厅1卫，面积是25平方米，有室外空间，房租价格是6500.0。
1630,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有空调，房租价格是6500.0。
1631,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是6500.0。
1632,有一个Xuhui的attached lane house，1卧1厅1卫，面积是35平方米，有供暖，房租价格是6500.0。
1633,有一个Xuhui的detached lane house，1卧0厅1卫，面积是32平方米，有室外空间，有空调，房租价格是6500.0。
1634,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有空调，有WIFI，房租价格是6500.0。
1635,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是6500.0。
1636,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有浴缸，房租价格是6500.0。
1637,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有空调，房租价格是6500.0。
1638,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有供暖，房租价格是6500.0。
1639,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有空调，房租价格是6500.0。
1640,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，房租价格是6500.0。
1641,有一个Xuhui的public housing，1卧1厅1卫，面积是42平方米，有空调，有阳台，房租价格是6500.0。
1642,有一个Xuhui的attached lane house，1卧0厅1卫，面积是30平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是6500.0。
1643,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是6500.0。
1644,有一个Xuhui的public housing，1卧2厅1卫，面积是43平方米，有空调，房租价格是6500.0。
1645,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有室外空间，房租价格是6500.0。
1646,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是6500.0。
1647,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是6500.0。
1648,有一个Xuhui的detached lane house，1卧0厅1卫，面积是25平方米，有空调，房租价格是6500.0。
1649,有一个Xuhui的public housing，1卧0厅1卫，面积是35平方米，有空调，有阳台，房租价格是6600.0。
1650,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是6700.0。
1651,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是6700.0。
1652,有一个Xuhui的public housing，1卧0厅1卫，面积是34平方米，有空调，有阳台，房租价格是6700.0。
1653,有一个Xuhui的attached lane house，1卧1厅1卫，面积是20平方米，有室外空间，有烤箱，房租价格是6800.0。
1654,有一个Xuhui的detached lane house，1卧0厅1卫，面积是25平方米，有室外空间，有空调，房租价格是6800.0。
1655,有一个Xuhui的public housing，1卧0厅1卫，面积是36平方米，有空调，有阳台，有WIFI，房租价格是6800.0。
1656,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是6800.0。
1657,有一个Xuhui的attached lane house，1卧1厅1卫，面积是46平方米，有室外空间，有空调，房租价格是6800.0。
1658,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有空调，有阳台，房租价格是6800.0。
1659,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是6800.0。
1660,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有浴缸，房租价格是6800.0。
1661,有一个Xuhui的attached lane house，1卧1厅1卫，面积是35平方米，有室外空间，有空调，房租价格是6800.0。
1662,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是6800.0。
1663,有一个Xuhui的public housing，1卧1厅1卫，面积是30平方米，有空调，有阳台，房租价格是6800.0。
1664,有一个Xuhui的attached lane house，1卧1厅1卫，面积是45平方米，有浴缸，房租价格是6800.0。
1665,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有空调，房租价格是6800.0。
1666,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有烤箱，房租价格是6800.0。
1667,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有空调，有烤箱，房租价格是6800.0。
1668,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有供暖，有空调，有阳台，房租价格是6800.0。
1669,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有空调，房租价格是6800.0。
1670,有一个Xuhui的detached lane house，1卧1厅1卫，面积是17平方米，有供暖，有空调，有地暖，房租价格是6800.0。
1671,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有空调，房租价格是6900.0。
1672,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有空调，有阳台，有WIFI，房租价格是6900.0。
1673,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，有阳台，房租价格是6900.0。
1674,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，有阳台，房租价格是6900.0。
1675,有一个Xuhui的public housing，1卧0厅1卫，面积是36平方米，有空调，有阳台，房租价格是6900.0。
1676,有一个Xuhui的public housing，1卧1厅1卫，面积是37平方米，有空调，有阳台，房租价格是6900.0。
1677,有一个Xuhui的public housing，1卧0厅1卫，面积是40平方米，有空调，有阳台，房租价格是6900.0。
1678,有一个Xuhui的detached lane house，2卧1厅1卫，面积是80平方米，有室外空间，房租价格是7000.0。
1679,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有室外空间，房租价格是7000.0。
1680,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有WIFI，房租价格是7000.0。
1681,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是7000.0。
1682,有一个Xuhui的detached lane house，1卧1厅1卫，面积是35平方米，有空调，有WIFI，房租价格是7000.0。
1683,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有浴缸，房租价格是7000.0。
1684,有一个Xuhui的detached lane house，1卧1厅1卫，面积是55平方米，有空调，有WIFI，房租价格是7000.0。
1685,有一个Xuhui的detached lane house，1卧0厅1卫，面积是35平方米，有室外空间，有空调，有浴缸，房租价格是7000.0。
1686,有一个Xuhui的attached lane house，1卧0厅1卫，面积是40平方米，有室外空间，有阳台，房租价格是7000.0。
1687,有一个Xuhui的public housing，3卧0厅1卫，面积是68平方米，有空调，有阳台，房租价格是7000.0。
1688,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，房租价格是7000.0。
1689,有一个Xuhui的public housing，2卧1厅1卫，面积是65平方米，有室外空间，有空调，有阳台，房租价格是7000.0。
1690,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，有阳台，房租价格是7000.0。
1691,有一个Xuhui的public housing，2卧1厅1卫，面积是58平方米，有室外空间，房租价格是7000.0。
1692,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有空调，有阳台，房租价格是7000.0。
1693,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有室外空间，房租价格是7000.0。
1694,有一个Xuhui的public housing，2卧2厅1卫，面积是55平方米，有空调，有WIFI，房租价格是7199.0。
1695,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有供暖，有地暖，房租价格是7200.0。
1696,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有空调，房租价格是7200.0。
1697,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有浴缸，房租价格是7200.0。
1698,有一个Xuhui的public housing，1卧2厅1卫，面积是43平方米，有空调，房租价格是7200.0。
1699,有一个Xuhui的public housing，1卧1厅1卫，面积是37平方米，有空调，有阳台，房租价格是7200.0。
1700,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是7200.0。
1701,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有浴缸，房租价格是7200.0。
1702,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有空调，房租价格是7200.0。
1703,有一个Xuhui的public housing，1卧1厅1卫，面积是60平方米，有空调，房租价格是7200.0。
1704,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有空调，有阳台，房租价格是7200.0。
1705,有一个Xuhui的public housing，1卧1厅1卫，面积是55平方米，有室外空间，房租价格是7200.0。
1706,有一个Xuhui的public housing，1卧1厅1卫，面积是47平方米，有空调，有阳台，房租价格是7300.0。
1707,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是7300.0。
1708,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是7400.0。
1709,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有供暖，有空调，房租价格是7499.0。
1710,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有室外空间，房租价格是7500.0。
1711,有一个Xuhui的detached lane house，1卧2厅1卫，面积是40平方米，有空调，房租价格是7500.0。
1712,有一个Xuhui的public housing，1卧1厅1卫，面积是38平方米，有浴缸，房租价格是7500.0。
1713,有一个Xuhui的attached lane house，1卧1厅1卫，面积是46平方米，有室外空间，有空调，有阳台，有烤箱，房租价格是7500.0。
1714,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有空调，房租价格是7500.0。
1715,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有供暖，有空调，有WIFI，房租价格是7500.0。
1716,有一个Xuhui的public housing，1卧2厅1卫，面积是50平方米，有空调，有阳台，有WIFI，房租价格是7500.0。
1717,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，房租价格是7500.0。
1718,有一个Xuhui的detached lane house，1卧0厅1卫，面积是45平方米，有室外空间，房租价格是7500.0。
1719,有一个Xuhui的attached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有空调，房租价格是7500.0。
1720,有一个Xuhui的attached lane house，2卧0厅1卫，面积是56平方米，有空调，有阳台，有WIFI，房租价格是7500.0。
1721,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有空调，有WIFI，房租价格是7500.0。
1722,有一个Xuhui的detached lane house，1卧1厅1卫，面积是55平方米，有空调，有WIFI，房租价格是7500.0。
1723,有一个Xuhui的detached lane house，1卧0厅1卫，面积是45平方米，有室外空间，房租价格是7500.0。
1724,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是7500.0。
1725,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是7500.0。
1726,有一个Xuhui的attached lane house，2卧1厅1卫，面积是65平方米，有供暖，有地暖，房租价格是7500.0。
1727,有一个Xuhui的public housing，1卧1厅1卫，面积是60平方米，有供暖，有空调，有阳台，房租价格是7500.0。
1728,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有阳台，有烤箱，房租价格是7500.0。
1729,有一个Xuhui的villa，1卧1厅1卫，面积是40平方米，有室外空间，房租价格是7500.0。
1730,有一个Xuhui的detached lane house，1卧0厅1卫，面积是12平方米，有空调，有WIFI，房租价格是7500.0。
1731,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是7500.0。
1732,有一个Xuhui的detached lane house，1卧1厅1卫，面积是35平方米，有室外空间，房租价格是7500.0。
1733,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有阳台，房租价格是7500.0。
1734,有一个Xuhui的attached lane house，1卧2厅1卫，面积是65平方米，有阳台，房租价格是7500.0。
1735,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是7500.0。
1736,有一个Xuhui的public housing，2卧1厅1卫，面积是55平方米，有空调，有阳台，房租价格是7500.0。
1737,有一个Xuhui的detached lane house，1卧1厅1卫，面积是65平方米，有空调，有WIFI，有烤箱，房租价格是7500.0。
1738,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有空调，房租价格是7500.0。
1739,有一个Xuhui的attached lane house，1卧1厅1卫，面积是55平方米，有室外空间，房租价格是7500.0。
1740,有一个Xuhui的attached lane house，1卧2厅1卫，面积是60平方米，有室外空间，房租价格是7600.0。
1741,有一个Xuhui的public housing，1卧2厅1卫，面积是55平方米，有空调，房租价格是7600.0。
1742,有一个Xuhui的public housing，3卧1厅1卫，面积是106平方米，有空调，有阳台，有WIFI，房租价格是7600.0。
1743,有一个Xuhui的public housing，2卧0厅1卫，面积是50平方米，有空调，有阳台，房租价格是7600.0。
1744,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是7600.0。
1745,有一个Xuhui的public housing，1卧2厅1卫，面积是50平方米，有空调，有阳台，房租价格是7700.0。
1746,有一个Xuhui的detached lane house，1卧1厅1卫，面积是30平方米，有室外空间，房租价格是7700.0。
1747,有一个Xuhui的public housing，1卧2厅1卫，面积是55平方米，有空调，房租价格是7700.0。
1748,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有供暖，房租价格是7800.0。
1749,有一个Xuhui的detached lane house，1卧1厅1卫，面积是35平方米，有供暖，有地暖，房租价格是7800.0。
1750,有一个Xuhui的detached lane house，1卧0厅1卫，面积是40平方米，有空调，房租价格是7800.0。
1751,有一个Xuhui的detached lane house，2卧1厅1卫，面积是60平方米，有空调，有WIFI，房租价格是7800.0。
1752,有一个Xuhui的public housing，1卧1厅1卫，面积是55平方米，有空调，有阳台，有WIFI，房租价格是7800.0。
1753,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是7800.0。
1754,有一个Xuhui的attached lane house，2卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是7800.0。
1755,有一个Xuhui的public housing，2卧0厅1卫，面积是50平方米，有空调，有阳台，房租价格是7900.0。
1756,有一个Xuhui的public housing，1卧1厅1卫，面积是35平方米，有供暖，有空调，有烤箱，房租价格是7900.0。
1757,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是7999.0。
1758,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有供暖，有空调，有阳台，房租价格是8000.0。
1759,有一个Xuhui的attached lane house，1卧2厅1卫，面积是50平方米，有空调，房租价格是8000.0。
1760,有一个Xuhui的attached lane house，1卧1厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是8000.0。
1761,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有烤箱，房租价格是8000.0。
1762,有一个Xuhui的attached lane house，1卧2厅1卫，面积是45平方米，有供暖，有空调，房租价格是8000.0。
1763,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是8000.0。
1764,有一个Xuhui的attached lane house，1卧1厅1卫，面积是30平方米，有供暖，房租价格是8000.0。
1765,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，房租价格是8000.0。
1766,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有空调，有WIFI，房租价格是8000.0。
1767,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有浴缸，房租价格是8000.0。
1768,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，有阳台，有烤箱，房租价格是8000.0。
